lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
37.5,37.5,Louisiana-Monroe,Alabama,24,,,,,,,,,,,,,,,38.07,16.5,,29.5,,34.05,35.53,32.89,38.46,40.44,35,,29.47,,,,0,34.68,29.46,16.953044359,,26.5,42.8735,,,,,,34.2,,,40.1205,14,,,38.25,31.91,32.442852218,7.2097344094,34.125,0.4158306088,0.968180047,37
21.5,23.5,Arkansas St.,Arkansas,10,,,,,,,,,,,,,,,22.25,10,,13.9,,19.9,20.17,19.47,22.46,20.06,23,,19.9,,,,0,17.74,24.44,15.66374459,,14.98,18.2503,,,,,,25.7,,,25.0355,4,,,18.87,28.31,19.50497723,4.881878254,19.9,0.4316148186,0.8790363098,23
43.5,42.5,Ball St.,Auburn,21,,,,,,,,,,,,,,,33.87,15.5,,26,,41.01,39.73,41.32,47.78,39.8,44,,38.49,,,,0,19.98,34.68,28.342548418,,30.21,29.9163,,,,,,48.3,,,33.866,3,,41.05,25.38,39.51,34.27308802,9.1430025202,34.68,0.368232762,0.9689323836,42
18.5,18.5,Stanford,BYU,20.5,,,,,,,,,,,,,,,20.13,24.5,,15,,12.34,11.79,12.1,14.59,23.09,19,,31.47,,,,0,24.6,22.86,20.978954953,,20.59,21.3819,,,,,,24.8,,,25.5605,7,,,18.86,30.31,20.722567748,5.5680109728,20.784477477,0.5379236442,0.8901813359,19
-19,-13.5,North Carolina,Charlotte,-14.5,,,,,,,,,,,,,,,-16.59,1.5,,-15.5,,-20.62,-20.31,-20.28,-25,-17.79,-20,,-10.38,,,,0,-12.46,-18.37,-4.334205333,,-11.25,-19.4337,,,,,,-15.5,,,-16.527,-7,,-9.548,-16.67,-22.49,-15.52632883,6.1956877822,-16.59,0.465647316,0.1819367702,-14
18,21.5,Bowling Green,Cincinnati,2,,,,,,,,,,,,,,,18.37,2,,16,,14.83,15.61,12.99,17.74,18.07,5,,16.57,,,,0,3.54,12.2,10.342046641,,11.34,10.999,,,,,,23.3,,,18.942,4,,,17.47,21.11,13.421152332,6.2512074426,15.22,0.3656023518,0.7834706414,20.5
32,33.5,Troy St.,Clemson,11,,,,,,,,,,,,,,,22.93,23,,25.5,,28.12,29.31,26.85,31.97,27.58,27,,27.05,,,,0,10.07,14.39,17.913000943,,16.64,18.7528,,,,,,35.1,,,32.522,6,,,19.55,37.11,24.117890047,7.6561295983,26.175,0.3475015641,0.9137256654,32.5
23.5,24,Delaware,Colorado,20.5,,,,,,,,,,,,,,,30.3,15,,17.5,,20.41,21.69,18.4,23.82,33.16,28,,39.05,,,,0,-2.48,,13.255631796,,22.09,33.3716,,,,,,20.1,,,29.743,3,,,18.34,33.91,22.955801673,9.4781638837,21.69,0.4830526024,0.8921400696,24
-2.5,-3,Illinois,Duke,1.5,,,,,,,,,,,,,,,-3.43,3.5,,-3.2,,-0.24,-0.07,0.43,-1.79,-1.94,-8,,-5.05,,,,0,1.49,-4.11,-3.155017513,,0.34,-1.5851,,,,,,-7.8,,,-4.361,-1,,,-1.33,-6.89,-2.284555876,3.1592169877,-1.865,0.5124668708,0.4440890843,-3
18.5,17,South Florida,Florida,13,,,,,,,,,,,,,,,20.48,7,,18,,22.16,22.81,21.83,24.51,18.93,16,,17.22,,,,0,12.55,16.37,12.461313428,,7.48,24.5254,,,,,,18.9,,,26.663,6,,,20,17.91,17.939985671,5.3861211935,18.45,0.5160882757,0.8568790315,17
-14,-13.5,Memphis,Georgia St.,-16.5,,,,,,,,,,,,,,,-14.43,-11.5,,-10,,-13.16,-13.06,-11.77,-17.4,-16.38,-27,,-19.67,,,,0,-18.95,-5.34,-14.89300038,,-15.65,-12.493,,,,,,-14.4,,,-14.8575,-4,,,-8,-21.69,-14.85717502,4.8136091321,-14.64375,0.4766524361,0.1860876812,-13.5
10,7.5,Sam Houston St.,Hawaii,3.5,,,,,,,,,,,,,,,0.09,-6,,4.1,,10.88,10.02,11.23,12.57,1.54,14,,-4.04,,,,0,-2.9,-0.81,5.358429124,,6.64,1.8795,,,,,,6.9,,,1.2495,-1,,5.448,5.1,3.11,4.2793061488,5.4682138481,4.1,0.4450812342,0.600242259,7
35.5,36.5,Kennesaw St.,Indiana,29.5,,,,,,,,,,,,,,,40.07,32.5,,28,,36.22,36.03,38.82,38.5,43.35,41,,44.41,,,,0,22.07,26.28,34.964881084,,27.56,48.0804,,,,,,31.9,,,43.33,9,,48.804,26.64,49.11,36.530441956,8.0432764135,36.22,0.5005048448,0.9796362154,36.5
3,3,Iowa,Iowa St.,4.5,,,,,,,,,,,,,,,6.95,5,,3.1,,2.75,1.36,0.55,7.19,7.94,5,,11.12,,,,0,4.31,4.53,4.694546409,,9.78,6.1443,,,,,,3.3,,,4.3995,-1,,,7.57,3.11,5.1649173205,2.6606585076,4.6122732045,0.5377788641,0.6253838944,3
-6,-6.5,Liberty,Jacksonville St.,-6.5,,,,,,,,,,,,,,,4.4,5.5,,-7.4,,-1.49,-1.04,-3.42,-0.58,5.27,,,15.32,,,,0,0.24,6.27,9.263718607,,5.85,7.2446,,,,,,-5.1,,,-0.203,-1,,,1.11,-3.69,1.6339641372,5.8996044282,0.24,0.6357834811,0.5382984556,-5.5
16,17,Army,Kansas St.,8.5,,,,,,,,,,,,,,,14.25,2.5,,17,,14.91,13.96,16.82,15.58,16.08,10,,5.84,,,,0,14.74,12.16,8.521304933,,12.62,10.6545,,,,,,17.9,,,14.9415,1,,,17.57,13.11,12.882865247,4.113346,14.105,0.4290937194,0.7830967108,16.5
-9,-10,Mississippi,Kentucky,-10.5,,,,,,,,,,,,,,,-14.29,-19.5,,-7.9,,-8.81,-8.14,-7.16,-13.48,-15.16,-25,,-18.22,,,,0,-15.04,-6.21,-15.21628173,,-11.15,-12.7058,,,,,,-15.2,,,-10.5875,-3,,-23.542,-7.62,-16.89,-13.44388484,5.2345924853,-13.48,0.4411677001,0.2114432978,-10
37.5,37.5,Louisiana Tech,LSU,26,,,,,,,,,,,,,,,33.52,10.5,,27,,37.42,36.45,38.3,42.73,36.9,30,,27.49,,,,0,25.76,33.24,28.378860142,,25.94,33.4311,,,,,,40.4,,,39.48,8,,,32.54,43.91,32.469498007,7.7273040628,33.33555,0.4168252775,0.9666138009,37.5
15,14,James Madison,Louisville,9.5,,,,,,,,,,,,,,,16.2,9.5,,7.8,,15.93,16.29,16.95,16.18,14.86,18,,18.29,,,,0,4.83,12.92,15.148262379,,10.65,16.7211,,,,,,,,,16.6145,-2,,,13.71,17.51,14.084413809,3.841677251,15.93,0.5014645153,0.8048649467,14
10,10,Missouri St.,Marshall,30.5,,,,,,,,,,,,,,,18.52,42.5,,6.9,,13.73,14.07,12.12,16.73,18.69,18,,21.13,,,,0,21.99,37.61,26.320404707,,16.52,23.2792,,,,,,14.6,,,20.4575,7,,,23.13,21.91,20.935355235,8.4191457444,19.57375,0.6744256222,0.8772797565,11.5
16,18,Northern Ill.,Maryland,6.5,,,,,,,,,,,,,,,20.95,-1.5,,9.5,,13.55,13.68,12.01,16.64,16.84,12,,11.73,,,,0,7.85,15.6,6.197679167,,15.89,8.5994,,,,,,21.1,,,13.048,5,,,15.43,13.51,12.456253958,5.2986649655,13.279,0.4058988117,0.7708531355,17
